1	Q6ZNK6	Q9Y4K3
2	Q9NR31	Q15797
3	P11627	P53986
4	P33176	Q96EK5
5	Q9NPY3	P02745
6	P03211	Q15796
7	Q9SYQ8	O80809
8	Q99576	O43524
9	P55196	Q9NYB0
10	Q7L7X3	O60566
11	Q9BZM4	P16757
12	Q29983	P16757
13	Q8TD07	P16757
14	Q16611	P45880
15	Q61508	P36888
16	P02918	P02919
17	Q9SYQ8	O80809
18	O80809	Q9SYQ8
19	P11799-3	P62149
20	Q09472	P16070
21	P54130	P16092
22	P54130	Q03142
23	O12161	P08047
24	P02769	P04840
25	P41593	Q9WTJ5
26	Q6ZP65	Q6QLM7
27	P11655	P48415
28	P04003	P25942
29	B3VK31	Q95JH1
30	Q8IUD6	Q7Z434
31	O95786	Q14258
32	Q8IUD6	Q9BYX4
33	O60423	Q3MIR4
34	O60423	Q3MIR4
35	Q8TF62	Q3MIR4
36	Q9Y2Q0	Q3MIR4
37	Q9NTI2	Q3MIR4
38	Q16512	Q15418
39	Q16513	Q15418
40	Q16513	P51812
41	Q16512	P51812
42	P38431	P32481
43	Q99575	Q96P20
44	Q7JWH5	Q8IP45
45	Q7JWH5	Q24311
46	O00482	Q96EB6
47	P52603	P08956
48	F6IB71	P08956
49	P52603	P08957
50	F6IB71	P08957
51	Q8QHK8	Q7ZX24
52	Q9JIL3	Q63009
53	O15360	Q00597
54	P35872	Q5SJE9
55	P10999	Q91783
56	P35968	P17948
57	Q5M9N9	P60484
58	Q920R0	P00441
59	P42212	P08238
60	Q91XD2	Q15404
61	Q9GZX6	Q13651
62	Q14526	P51531
63	O15151-4	P04637
64	Q04863	P15307
65	Q04863	Q04207
66	Q13586	Q13507
67	Q13586	Q9Y210
68	O95999	Q13489
69	Q86Y07	P51452
70	Q86Y07-2	P49116
71	Q86Y07-2	O14733
72	P34741	P05230
73	Q9QXX8	Q61584
74	Q9QXX8	Q9WVR4
75	Q61206	Q924X6
76	Q61205	Q924X6
77	Q9FE22	P14712
78	Q9FE22	P14713
79	P07203	P09917
80	Q96UP3	Q96TL7
81	Q8CBD1	Q9JIF0
82	Q8CBD1	P68254
83	Q8TEW0	P53667
84	Q61559	P27512
85	Q8AVZ3	Q91783
86	P03073	P02340
87	Q15750-2	P49116
88	P35917	P35918
89	P35917	Q00731
90	Q99986	P18754
91	O12161	Q9QWV9
92	Q9ULX6	P13861
93	Q9ULX6	O43823
94	P80370	P46531
95	Q7L3B6	P04049
96	Q9NUX5	Q15554
97	Q8IXI2	O60282
98	Q8IRY7	Q9W2K2
99	Q9VEN9	Q9VVI2
100	Q9VEN9	Q9VTZ0
101	Q15797	Q9UM13
102	Q13485	Q9UM13
103	Q9WTW2	P23299
104	P08047	P04608
105	P08047	P04608
106	Q56P03	Q16254
107	Q9JM90	O60674
108	Q9JM90	Q9QVP9
109	Q9Y371	Q07812
110	Q62417-3	P18206
111	Q9FEG2	P18064
112	Q9FEG2	P18064
113	Q39128	P18064
114	O89100	Q9Z1S8
115	P00918	P40879
116	P35570	P62994
117	Q1JU68	P07522
118	P29150	O04663
119	Q66HA7	P62960
120	Q66HA7	Q62725
121	Q13905	P46108
122	Q13905	Q9UHJ6
123	Q13905	P62993
124	P15498	P29353
125	P15498	P62993
126	P15499	Q9JJZ9
127	P15976	Q05513
128	P63165	Q9Y2Q3
129	O94907	P04628
130	O94907	P04628
131	Q96B97	Q92956
132	Q99626	P20226
133	Q99626	P20226
134	Q5JTD0	Q9Y624
135	Q5JTD0	A5JSJ9
136	Q5JTD0	Q07157
137	Q99K43	P38532
138	Q9P055	Q6PJ80
139	Q9UBP5	Q92575
140	Q92890	Q92575
141	Q9NZQ7	P10747
142	Q9NZQ7	P16410
143	O88565	P47224
144	Q965M2	P12643
145	Q66T02	P63001
146	Q66T02	P60766
147	Q9QUL0	P01237
148	O15379	Q99814
149	P02870	Q8C129
150	Q9AVB0	Q8C129
151	Q43373	Q8C129
152	P43407	P21981
153	Q9UKG1	P20338
154	Q9UKG1	P51149
155	Q9UKG1	P62491
156	Q8NEU8	P20338
157	Q8NEU8	P51149
158	Q8NEU8	P62491
159	P02753	P52205
160	Q92769	Q04206
161	Q96AD5	Q8CGN5
162	P25822	P31007-7
163	Q9NV70	P61586
164	P12259	P01023
165	E5LBX1	Q8IUC6
166	P49815	Q13309
167	Q92574	P46527
168	Q92574	Q13309
169	Q80824	P24864
170	Q80824	P24864
171	P46414	Q03147
172	Q9WTW1	P31016
173	P97879	P31016
174	Q9UM73	P21246
175	P23804	P02340
176	P10398	Q07817
177	P10398	P10415
178	P04792	P23588
179	P04792	Q14152
180	P04792	P06730
181	P04792	P60842
182	P04792	Q9BUB5
183	P04792	P19940
184	P48736	O00459
185	Q16512	Q9Y2U5
186	Q16513	Q99759
187	P26955	P04401
188	Q07817	Q7Z434
189	O60313	Q7Z434
190	P46939	Q7Z434
191	Q8R4G0	O08747
192	Q8R4G0	Q8K1S4
193	Q8R4G0	Q8K1S3
194	Q99J85	Q8BP92
195	P42858	Q13127
196	P42858	Q96NA2
197	O75791	Q07666
198	O75791	Q07889
199	O75791	P22681
200	Q13158	Q14790
201	P30658	A2AM29
202	Q8BH43	P63001
203	Q5UEC5	Q9VR21
204	Q5UEC5	P47825
205	Q8VHZ5	Q9EP53
206	Q8VHZ5	Q61037
207	P15531	Q00987
208	P10993	P58772
209	P10993	P58772
210	P04626	O00459
211	P22455	P09038
212	P21836	P02866
213	Q8BGS1	P62331
214	Q09163	Q01705
215	Q7KT06	P48540
216	Q9WTL8	P45481
217	O08785	P45481
218	Q9Y613	P61586
219	Q9Y613	P60953
220	Q9Y613	P15153
221	Q9Y613	P60763
222	P13405	Q61501
223	Q8IQW0	P08646
224	Q08877	Q62600
225	P39052	Q62600
226	P49767	P17948
227	P03244	Q13158
228	P03244	Q14790
229	P23804-2	P02340
230	P0C746	P01100
231	P29353	P05067
232	P0AG74	P24230
233	P49207	P06493
234	P04003	P25942
235	Q90681	P01344
236	Q32NU6	P01344
237	P22736	Q14686
238	Q9Y6X2	P42224
239	P23511	P20226
240	P20226	P23511
241	Q05193	P04601
242	P07249	P13574
243	P07249	P19419
244	P17839	P13574
245	P17839	P19419
246	Q9UBF6	P68400
247	Q7Z6M1	P51149
248	Q7Z6M1	P01112
249	P39060	P15692
250	O14543	O60674
251	Q13239	Q6PIZ9
252	P22681	Q6PIZ9
253	P43403	Q6PIZ9
254	Q13571	Q6PIZ9
255	P20963	Q6PIZ9
256	P04156	Q9UM11
257	G3V608	Q08125
258	P02771	P02870
259	Q9J5U5	P32927
260	Q9J5U5	P60568
261	Q9ERI2	Q99104
262	Q99N11	Q03137
263	P00813	P27487
264	Q9U377	Q20758
265	Q9U377	O45379
266	Q9U377	Q9N3C8
267	Q9UIL1	Q20758
268	Q9UIL1	O45379
269	Q9UIL1	Q9N3C8
270	P46934	Q9Y5X1
271	P27882	P36046
272	O08715	P31324
273	Q64092	Q03141
274	P68400	P17480
275	P06730	Q9HB40
276	P06730	Q9UKV8
277	P70371	Q6PFX9
278	P70371	Q3UES3
279	Q6NXK8	Q62108
280	Q9UJW0	Q04656
281	Q8N668	O00244
282	Q8N668	Q762B6
283	P69908	P62199
284	Q8NHR9	P60709
285	P35548	P29590
286	P17560	P00797
287	P09712	P11021
288	P09731	P11021
289	P09729	P11021
290	P09728	P11021
291	O55055	Q9UJW3
292	Q9UBB5	Q9UJW3
293	O95983	Q9UJW3
294	Q8UVW8	P51167
295	P09866	Q4GWZ2
296	P02730	P16157
297	P01186	P30560
298	P17141	P25976
299	P63244	P04637
300	P15208	P05017
301	P51677	P10147
302	P51677	P13236
303	P34932	Q07812
304	P03682	C6EGH1
305	P51140	P07207
306	P97471	P70323
307	P97454	P70323
308	O35182	P70323
309	P46630	Q9DVL1
310	P63170	P29476-3
311	P04233	P46531
312	Q06481	P04233
313	Q99497	Q9UBK2
314	P63104	P49841
315	P63104	P10636
316	P16333	P00533
317	Q8CGY6	P02609
318	Q96QF0	Q16384
319	Q96QF0	Q99909
320	Q96QF0	O60224
321	Q9Y2D8	Q16384
322	Q9Y2D8	O60224
323	Q60972	Q01147
324	Q92769	P78364
325	Q92769	Q15910
326	Q92769	Q9BQ52
327	Q92769	Q06587
328	Q92769	P25916
329	P41587	O60894
330	P41587	O60895
331	P41587	O60896
332	Q60954	Q789F3
333	P01100	P35452
334	P14921	Q92793
335	Q8IYS3	Q92793
336	O34580	P37455
337	P54394	P37455
338	P22303	P02866
339	P61073	P51681
340	P00915	P02730
341	P21803	P15655
342	B7SGZ7	P05412
343	B7SGZ7	P05549
344	P06400	P84022
345	Q08999	P84022
346	Q8C863	Q01705
347	P04406	B1P6E5
348	P0AG86	P02925
